year,team,tg,g,pa,hr,r,rbi,sb,bb%,k%,iso,babip,avg,obp,slg,woba,wrc+,bsr,off,def,war,era,whip,defeff,rtot,defrunssaved,made_playoffs
2024,CHICAGO WHITE SOX,162,2360,5869,133,507,485,90,6.70%,23.90%,0.119,0.272,0.221,0.278,0.34,0.272,75,-8.8,-178.3,-78.2,-6.3,5.29,1.51,0.674,-61.0,-87.0,0
2023,CHICAGO WHITE SOX,162,2387,5980,171,641,617,86,6.30%,23.80%,0.146,0.289,0.238,0.291,0.384,0.292,83,-7.2,-129.2,-42.3,3.4,4.92,1.41,0.688,-28.0,-38.0,0
2022,CHICAGO WHITE SOX,162,2371,6123,149,686,654,58,6.30%,20.70%,0.131,0.304,0.256,0.31,0.387,0.306,98,-6.8,-17.8,-29.3,15.4,3.92,1.29,0.702,-17.0,-4.0,0
2021,CHICAGO WHITE SOX,162,2292,6084,190,796,757,57,9.60%,22.80%,0.166,0.31,0.256,0.336,0.422,0.329,108,0.5,58.1,-47.0,22.0,3.73,1.21,0.713,27.0,2.0,1
2020,CHICAGO WHITE SOX,60,889,2267,96,306,294,20,7.90%,25.20%,0.192,0.314,0.261,0.326,0.453,0.334,111,-3.3,27.7,7.3,13.1,3.81,1.27,0.711,17.0,-2.0,1
2019,CHICAGO WHITE SOX,161,2311,6042,182,708,676,63,6.30%,25.60%,0.153,0.329,0.261,0.314,0.414,0.309,92,-2.5,-67.4,-52.5,9.6,4.91,1.44,0.687,-31.0,-9.0,0
2018,CHICAGO WHITE SOX,162,2348,6071,182,656,639,98,7.00%,26.30%,0.16,0.304,0.241,0.302,0.401,0.304,92,-1.4,-61.7,-43.9,10.5,4.84,1.44,0.683,-37.0,-30.0,0
2017,CHICAGO WHITE SOX,162,2289,6059,186,706,670,71,6.60%,23.10%,0.161,0.309,0.256,0.314,0.417,0.313,95,-4.1,-38.5,-5.4,15.5,4.78,1.43,0.682,-75.0,-34.0,0
2016,CHICAGO WHITE SOX,162,2217,6131,168,686,656,77,7.40%,21.00%,0.153,0.304,0.257,0.317,0.41,0.314,97,-1.1,-25.8,-31.2,15.4,4.1,1.37,0.692,-14.0,-17.0,0
2015,CHICAGO WHITE SOX,162,2265,6070,136,622,595,68,6.70%,20.30%,0.13,0.296,0.25,0.306,0.38,0.3,89,-15.2,-94.3,-21.6,8.8,3.98,1.29,0.699,-39.0,-6.0,0
